week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
314,3.571428571,3.714285714,18.14285714,18.42857143,19.85714286,17.85714286,18.57142857,20.0
315,5.285714286,0.0,15.0,17.14285714,19.0,15.28571429,17.0,18.85714286
316,34.42857143,32.71428571,20.0,19.28571429,20.0,20.0,19.2,20.2
317,34.0,30.28571429,22.42857143,22.0,22.28571429,22.33333333,22.0,22.5
318,28.85714286,25.71428571,23.57142857,23.14285714,23.71428571,23.5,23.0,24.0
319,35.57142857,32.71428571,29.0,27.71428571,26.71428571,29.42857143,28.0,27.0
320,38.0,34.71428571,32.0,31.0,30.42857143,32.57142857,31.0,30.57142857
321,40.85714286,37.14285714,34.0,31.85714286,31.0,35.16666667,31.83333333,31.0
322,34.85714286,33.14285714,33.57142857,32.71428571,31.71428571,33.57142857,32.42857143,31.71428571
323,47.14285714,43.14285714,38.0,35.0,32.0,38.66666667,34.33333333,32.0
324,52.57142857,46.57142857,41.0,38.28571429,32.0,43.33333333,37.66666667,32.0
325,54.71428571,51.42857143,45.14285714,42.42857143,35.14285714,46.57142857,41.57142857,35.42857143
326,54.14285714,50.71428571,45.71428571,44.42857143,38.28571429,46.28571429,43.28571429,38.28571429
327,55.14285714,51.57142857,46.57142857,45.0,39.28571429,47.5,44.0,39.66666667
328,50.57142857,46.28571429,43.0,42.85714286,39.14285714,44.85714286,42.28571429,39.0
329,55.71428571,52.14285714,47.71428571,46.42857143,41.28571429,49.14285714,45.71428571,41.42857143
330,52.42857143,50.0,48.28571429,47.28571429,42.85714286,48.57142857,46.28571429,42.71428571
331,55.14285714,51.28571429,47.57142857,45.85714286,41.71428571,48.71428571,45.57142857,41.71428571
332,47.57142857,46.57142857,47.0,46.71428571,43.42857143,46.83333333,45.5,43.16666667
333,41.0,40.0,41.57142857,41.71428571,41.0,41.57142857,41.42857143,40.57142857
334,39.71428571,37.85714286,39.0,39.42857143,38.14285714,39.85714286,39.14285714,38.14285714
335,39.42857143,37.57142857,39.57142857,39.71428571,38.85714286,39.85714286,39.28571429,38.71428571
336,45.14285714,43.28571429,41.57142857,41.28571429,39.42857143,41.33333333,40.5,39.33333333
337,43.57142857,41.71428571,39.14285714,39.57142857,38.57142857,39.28571429,38.85714286,38.42857143
338,29.85714286,31.66666667,33.83333333,35.16666667,35.83333333,35.0,35.66666667,36.33333333
339,18.42857143,16.33333333,31.16666667,32.0,33.16666667,31.0,32.0,33.0
