week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
130,40.28571429,39.05714286,44.14285714,41.28571429,43.42857143,44.14285714,44.42857143,41.42857143,43.14285714,43.85714286
131,37.82857143,35.85714286,40.71428571,36.71428571,40.28571429,41.85714286,41.57142857,37.71428571,40.0,41.85714286
132,38.14285714,39.56666667,41.66666667,37.83333333,40.0,40.83333333,42.0,38.66666667,40.0,40.83333333
133,28.43333333,28.61428571,39.28571429,35.0,37.57142857,39.42857143,39.16666667,35.0,37.33333333,39.16666667
134,17.51428571,17.38571429,38.57142857,33.57142857,36.28571429,37.85714286,38.42857143,33.42857143,36.14285714,37.85714286
135,33.94285714,33.92857143,37.71428571,32.57142857,35.0,36.42857143,37.71428571,32.57142857,35.0,36.57142857
136,22.42857143,22.81666667,38.0,33.0,35.0,36.0,37.66666667,33.0,35.0,36.0
137,15.74285714,16.58333333,36.5,33.0,35.0,36.0,36.4,33.0,35.0,36.0
138,5.4,5.085714286,36.0,33.0,34.42857143,35.42857143,36.0,33.0,34.0,35.42857143
139,7.671428571,5.9,35.14285714,32.28571429,34.0,35.0,35.0,32.0,34.0,35.0
140,25.54285714,24.82857143,35.0,32.0,33.14285714,34.71428571,35.0,32.0,33.0,34.42857143
141,33.34285714,32.48333333,35.0,32.0,33.0,34.0,35.0,32.0,33.0,34.0
142,27.18571429,27.52857143,35.0,32.0,33.0,34.0,35.0,32.0,33.0,34.0
143,27.62857143,29.1,35.0,32.0,33.0,34.0,35.0,32.0,33.0,34.0
144,14.08571429,11.48571429,35.0,31.57142857,33.0,34.0,35.0,31.57142857,32.71428571,34.0
145,13.94285714,15.81428571,35.0,31.0,32.0,33.14285714,34.85714286,31.0,32.0,33.14285714
146,22.57142857,20.77142857,34.28571429,31.0,32.0,33.0,34.28571429,31.0,32.0,33.0
147,3.042857143,6.414285714,35.0,31.0,32.0,33.0,35.0,31.0,32.0,33.0
148,-6.242857143,-7.2,34.57142857,31.0,32.0,33.0,34.28571429,31.0,32.0,33.0
